Leg,Team Number,Team Name,Runner,Category,Start Time,Finish Time,Time(including penalties),Pace(including penalties),Penalties,Mass Start?,Team placing at the end of this Leg,Individual placing this Leg
 1, 1, Abingdon AC 1, James Clayton, M ,7:30:00, 8:43:33, 1:13:33, 0:06:41, 0:00:00,, 9, 9
 1, 2, Abingdon AC 2, Peter  Akrill, M, 7:30:00, 8:58:34, 1:28:34, 0:08:03, 0:00:00,, 24 ,24
 1, 3, Alchester Red, Jonathan White, M, 7:30:00, 8:51:38, 1:21:38, 0:07:25, 0:00:00,, 15, 15
 1, 4, Alchester Blue, Steph Giles, F, 7:30:00, 8:51:38, 1:21:38, 0:07:25, 0:00:00,, 15, 15
 1, 5, Bearbrook A, Paul Anderson, MV, 7:30:00, 9:00:03, 1:30:03, 0:08:11, 0:00:00,, 28, 28
 1, 6, Bearbrook 1, Owen Byrne, MV, 7:30:00, 8:51:19, 1:21:19, 0:07:24, 0:00:00,, 14, 14
 1, 7, Compton Harriers RC 'A', Jim Collins, MV, 7:30:00, 8:47:35, 1:17:35, 0:07:03, 0:00:00,, 12, 12
 1, 8, Compton Harriers RC 'B', Martin Fray, MV, 7:30:00, 8:52:24, 1:22:24, 0:07:29, 0:00:00,, 19, 19
 1, 9, Eynsham Roadrunners A, Tom Baker, M, 7:30:00, 8:40:11, 1:10:11, 0:06:23, 0:00:00,, 5, 5
 1, 10, Eynsham Roadrunners B, Neil Reeves, M, 7:30:00, 9:05:41, 1:35:41, 0:08:42, 0:00:00,, 34, 34
 1, 11, HX Soles on Fire, John Houston, M, 7:30:00, 9:04:14, 1:34:14, 0:08:34, 0:00:00,, 31, 31
 1, 12, HX Cirque du Sore Legs, Rickie Baron, M, 7:30:00, 8:57:51, 1:27:51, 0:07:59, 0:00:00,, 22, 22
 1, 13, HX Pacemakers, Frank Fulcher, MV, 7:30:00, 8:49:13, 1:19:13, 0:07:12, 0:00:00,, 13, 13
 1, 14, Headington RoadRunners Mostly Ladies, Stefan Franssen, M, 7:30:00, 9:05:41, 1:35:41, 0:08:42, 0:00:00,, 34, 34
 1, 15, Headington RoadRunners Mostly Men,Tom Green, M, 7:30:00, 8:36:21, 1:06:21, 0:06:02, 0:00:00,, 2, 2
 1, 16, Headington RoadRunners Vets, John Griffiths, MV, 7:30:00, 9:00:07, 1:30:07, 0:08:12, 0:00:00,, 29, 29
 1, 17, Lliswerry Runners, Niamh Ovey, F, 7:30:00, 11:34:00, 4:04:00, 0:22:11, 0:00:00,Yes, 40, 40
 1, 18, Marlborough Rambunctious Caperers, Miguel Possolo, MV, 7:30:00, 9:04:04, 1:34:04, 0:08:33, 0:00:00,, 30, 30
 1, 19, Marlborough Righteous Crusaders, Rob Pyle, M, 7:30:00, 9:04:15, 1:34:15, 0:08:34, 0:00:00,, 32, 32
 1, 20, Newbury AC Team A, Alex Aldridge, M, 7:30:00, 8:37:28, 1:07:28, 0:06:08, 0:00:00,, 3, 3
 1, 21, Newbury AC Team B, Mike Robbins, M, 7:30:00, 8:43:54, 1:13:54, 0:06:43, 0:00:00,, 10, 10
 1, 22, Pewsey Projectiles (PVRC), Richard Albary, M, 7:30:00, 9:14:07, 1:44:07, 0:09:28, 0:00:00,, 37, 37
